"effect_A_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.3,"ICE-IPCW (deb.)",0.951,0.0003,-0.00000649,0.0173,0.0174
,"LTMLE",0.948,0.00029,0.00296,0.0168,0.0169
,"Naive Cox",,0.000291,-0.00158,0.017,
,"ICE-IPCW",,0.0003,-0.0000142,0.0173,
0,"ICE-IPCW (deb.)",0.951,0.000336,-0.000497,0.0183,0.0184
,"LTMLE",0.952,0.000316,-0.000303,0.0178,0.0178
,"Naive Cox",,0.000327,-0.00231,0.0179,
,"ICE-IPCW",,0.000336,-0.000491,0.0183,
0.3,"ICE-IPCW (deb.)",0.95,0.000355,0.000395,0.0188,0.0188
,"LTMLE",0.948,0.00034,-0.00228,0.0183,0.0183
,"Naive Cox",,0.000347,-0.00166,0.0185,
,"ICE-IPCW",,0.000354,0.000417,0.0188,
